year,type,name,points,minutes_played,total_field_goals_made,total_rebounds,avg_points_last_5,opponent_def_eff
2024,REG,Warriors,677,941.0,225,152,,1.0
2024,PRE,Warriors,44,73.0,15,9,,1.0
2023,REG,Warriors,1956,2421.0,650,330,,1.0
2023,PRE,Warriors,67,85.0,20,13,,1.0
2023,PIT,Warriors,22,36.0,8,4,553.2,1.0
2022,REG,Warriors,1648,1941.0,559,341,747.4,1.0
2022,PST,Warriors,396,493.0,145,67,817.8,1.0
2022,PRE,Warriors,61,81.0,21,14,438.8,1.0
2021,REG,Warriors,1630,2211.0,535,335,751.4,1.0
2021,PST,Warriors,602,764.0,202,115,867.4,1.0
2021,PRE,Warriors,98,91.0,34,18,557.4,1.0
2020,REG,Warriors,2015,2151.0,658,345,881.2,1.0
2020,PRE,Warriors,68,78.0,23,11,882.6,1.0
2020,PIT,Warriors,76,88.0,25,11,571.8,1.0
2019,REG,Warriors,104,139.0,33,26,472.2,1.0
2019,PRE,Warriors,107,98.0,34,11,474.0,1.0
2018,REG,Warriors,1881,2331.0,632,369,447.2,1.0
2018,PST,Warriors,620,845.0,190,132,557.6,1.0
2018,PRE,Warriors,83,81.0,26,8,559.0,1.0
2017,REG,Warriors,1346,1631.0,428,261,807.4,1.0
2017,PST,Warriors,383,555.0,137,91,862.6,1.0
2017,PRE,Warriors,82,98.0,27,19,502.8,1.0
2016,REG,Warriors,1999,2737.0,675,353,778.6,1.0
2016,PST,Warriors,477,601.0,151,107,857.4,1.0
2016,PRE,Warriors,138,169.0,44,28,615.8,1.0
2015,REG,Warriors,2375,2700.0,805,430,1014.2,1.0
2015,PST,Warriors,452,614.0,148,99,1088.2,1.0
2015,PRE,Warriors,120,139.0,38,15,712.4,1.0
2014,REG,Warriors,1900,2613.0,653,341,997.0,1.0
2014,PST,Warriors,594,826.0,200,105,1088.2,1.0
2014,PRE,Warriors,121,184.0,37,20,637.4,1.0
2013,REG,Warriors,1873,2846.0,652,334,921.6,1.0
2013,PST,Warriors,161,296.0,51,25,929.8,1.0
2013,PRE,Warriors,66,106.0,19,13,563.0,1.0
